group_size, ncues, path_length, decision_time
6, 2, 565.974, 1264
6, 2, 567.948, 1270
6, 2, 563.315, 1262
6, 2, 567.683, 1271
6, 2, 561.195, 1254
6, 2, 567.806, 1274
6, 2, 560.889, 1247
6, 2, 568.411, 1264
6, 2, 562.848, 1261
6, 2, 557.511, 1248
6, 2, 565.813, 1273
6, 2, 571.758, 1276
6, 2, 556.263, 1241
6, 2, 570.366, 1279
6, 2, 556.715, 1239
6, 2, 571.443, 1279
6, 2, 570.866, 1281
6, 2, 569.023, 1274
6, 2, 572.723, 1281
6, 2, 562.771, 1258
6, 2, 562.606, 1251
6, 2, 563.915, 1264
6, 2, 569.323, 1274
6, 2, 561.655, 1253
6, 2, 556.932, 1244
6, 2, 565.06, 1264
6, 2, 571.242, 1278
6, 2, 560.567, 1248
6, 2, 557.575, 1243
6, 2, 560.522, 1253
6, 2, 556.345, 1237
6, 2, 568.879, 1274
6, 2, 565.725, 1261
6, 2, 558.32, 1245
6, 2, 567.036, 1261
6, 2, 561.266, 1255
6, 2, 564.382, 1259
6, 2, 560.531, 1251
6, 2, 561.448, 1250
6, 2, 562.495, 1257
6, 2, 565.604, 1256
6, 2, 566.621, 1269
6, 2, 552.488, 1228
6, 2, 571.899, 1279
6, 2, 570.612, 1274
6, 2, 574.244, 1290
6, 2, 569.475, 1280
6, 2, 567.938, 1267
6, 2, 570.077, 1287
6, 2, 561.036, 1254
6, 2, 582.122, 1311
6, 2, 559.692, 1251
6, 2, 577.569, 1295
6, 2, 554.379, 1238
6, 2, 558.159, 1244
6, 2, 579.273, 1299
6, 2, 561.945, 1247
6, 2, 566.808, 1271
6, 2, 552.989, 1229
6, 2, 567.712, 1271
6, 2, 576.403, 1301
6, 2, 571.003, 1279
6, 2, 558.05, 1247
6, 2, 555.655, 1239
6, 2, 574.139, 1289
6, 2, 557.949, 1241
6, 2, 561.62, 1248
6, 2, 564.41, 1263
6, 2, 565.785, 1262
6, 2, 561.047, 1257
6, 2, 564.456, 1265
6, 2, 569.458, 1283
6, 2, 564.608, 1256
6, 2, 562.563, 1259
6, 2, 570.943, 1286
6, 2, 561.48, 1252
6, 2, 561.897, 1245
6, 2, 567.475, 1270
6, 2, 561.16, 1252
6, 2, 764.938, 1863
6, 2, 562.014, 1251
6, 2, 568.459, 1276
6, 2, 565.752, 1269
6, 2, 557.123, 1240
